index,대화0,대화1,대화2,대화3,대화4,대화5,대화6,대화7,대화8,대화9
22,/(/Y/o/u/ /a/r/e/ /d/u/s/t/i/n/g/ /o/f/f/ /y/o/u/r/ /s/u/r/r/o/u/n/d/i/n/g/s/./),/I/t/'/s/ /r/a/i/n/i/n/g/ /o/u/t/s/i/d/e/ /c/o/n/t/i/n/u/o/u/s/l/y/./././,/W/h/e/n/ /I/ /l/i/v/e/ /i/n/ /a/ /s/e/m/i/-/b/a/s/e/m/e/n/t/ /r/o/o/m/ /i/t/ /r/a/i/n/e/d/ /s/o/ /m/u/c/h/ /t/h/a/t/ /I/ /w/a/s/ /s/u/b/m/e/r/g/e/d/./,/I/ /d/o/n/'/t/ /t/h/i/n/k/ /i/t/ /w/i/l/l/ /s/t/o/p/ /r/a/i/n/i/n/g/ /a/l/l/ /y/e/a/r/ /r/o/u/n/d/./ ///////M/a/y/b/e/./,/I/ /u/s/e/d/ /t/o/ /p/l/a/y/ /t/h/e/ /c/l/a/w/ /m/a/c/h/i/n/e/ /b/e/f/o/r/e/././ /I/ /l/o/s/t/ /a/l/l/ /m/y/ /m/o/n/e/y/ /w/i/t/h/o/u/t/ /a/n/y/ /d/o/l/l/./,/D/o/ /y/o/u/ /r/e/m/e/m/b/e/r/ /t/h/e/ /s/u/n/ /s/h/o/w/e/r/ /t/h/a/t/ /I/ /t/o/l/d/ /y/o/u/ /a/b/o/u/t/ /l/a/s/t/ /t/i/m/e/?/ ////////I/ /f/e/e/l/ /l/i/k/e/ /s/e/e/i/n/g/ /i/t/ /a/g/a/i/n/ /t/h/e/s/e/ /d/a/y/s/./,/I/ /f/o/r/g/o/t/ /t/o/ /c/l/e/a/n/ /t/h/e/ /k/i/t/c/h/e/n/./ ///////I/ /w/i/l/l/ /d/o/ /i/t/ /l/a/t/e/r/./,/M/o/s/t/ /o/f/ /a/l/l/ /I/ /t/h/i/n/k/ /h/e/a/l/t/h/ /i/s/ /t/h/e/ /m/o/s/t/ /i/m/p/o/r/t/a/n/t/ /f/o/r/ /p/e/o/p/l/e/./ /I/t/ /i/s/ /h/a/r/d/ /i/f/ /I/ /w/o/u/l/d/ /b/e/ /u/n/w/e/l/l/./,/I/ /h/e/a/r/d/ /t/h/a/t/ /t/h/e/ /j/u/i/c/e/ /m/a/d/e/ /o/f/ /t/r/o/p/i/c/a/l/ /f/r/u/i/t/s/ /i/s/ /s/w/e/e/t/ /s/o/ /I/ /w/a/n/t/ /t/o/ /t/r/y/ /i/t/ /s/o/m/e/t/i/m/e/./,/T/h/e/ /s/u/n/ /s/h/i/n/i/n/g/ /a/b/o/v/e/ /t/h/e/ /d/a/r/k/ /c/l/o/u/d/s/ /i/s/ /w/a/i/t/i/n/g/ /f/o/r/ /u/s/./
23,/(/Y/o/u/ /a/r/e/ /r/u/b/b/i/n/g/ /y/o/u/r/ /h/a/n/d/s/./)/,/I/'/m/ /s/o////.////.//// /b/o/r/e/d/././,"/(/O/u/r/ /e/y/e/s/ /m/e/t/,/ /b/u/t/ /y/o/u/ /a/v/o/i/d/e/d/ /i/t/ /r/i/g/h/t/ /a/w/a/y/./)/",/(/I/ /w/o/n/d/e/r/ /w/h/a/t/ /y/o/u/ /a/r/e/ /t/h/i/n/k/i/n/g/./)/,/I/ /p/i/c/k/e/d/ /u/p/ /a/ /s/h/i/n/y/ /s/t/o/n/e/ /b/u/t/ /t/h/e/ /c/r/o/w/ /t/o/o/k/ /i/t/.,/I/ /r/e/m/e/m/b/e/r/ /w/h/e/n/ /I/ /w/a/s/ /5/ /y/e/a/r/s/ /o/l/d/ /I/ /c/r/i/e/d/ /w/h/i/l/e/ /h/a/v/i/n/g/ /a/ /t/a/l/e/n/t/ /s/h/o/w/ /i/n/ /k/i/n/d/e/r/g/a/r/t/e/n/./ /I/ /g/u/e/s/s/ /I/ /w/a/s/ /s/c/a/r/e/d/ /b/e/c/a/u/s/e/ /e/v/e/r/y/o/n/e/ /w/a/s/ /l/o/o/k/i/n/g/ /a/t/ /m/e/./,/I/ /w/a/n/t/ /t/o/ /m/a/k/e/ /a/ /w/i/s/h/ /l/o/o/k/i/n/g/ /a/t/ /t/h/e/ /s/t/a/r/s/ /i/n/ /t/h/e/ /n/i/g/h/t/ /s/k/y/./,/I/ /r/e/m/e/m/b/e/r/ /t/h/a/t/ /I/ /t/r/i/e/d/ /t/o/ /c/a/t/c/h/ /b/u/g/s/ /w/i/t/h/ /a/ /b/u/t/t/e/r/f/l/y/ /n/e/t/ ///////w/h/e/n/ /I/ /w/a/s/ /a/ /k/i/d/./,/I/ /l/i/k/e/ /t/h/e/ /n/e/w/s/p/a/p/e/r/ /b/e/c/a/u/s/e/ /i/t/ /c/o/n/t/a/i/n/s/ /v/a/r/i/o/u/s/ /i/n/f/o/r/m/a/t/i/o/n/./ ///////I/ /l/i/k/e/ /t/h/e/ /s/m/e/l/l/ /o/f/ /p/a/p/e/r/./,/(/O/n/l/y/ /a/ /c/o/m/f/o/r/t/a/b/l/e/ /a/t/m/o/s/p/h/e/r/e/ /f/l/o/w/s/ /t/h/r/o/u/g/h/ /t/h/e/ /r/o/o/m/./)/
24,/O/h//////.//////.//// /i/t/'/s/ /c/o/l/d/./ /T/h/e/r/e/ /i/s/ /a/ /d/r/o/p/ /o/f/ /w/a/t/e/r/ /f/r/o/m/ /t/h/e/ /t/o/p/./,/I/t/ /i/s/ /a/ /l/i/t/t/l/e/ /b/i/t/ /c/h/i/l/l/y/./ /I/s/ /t/h/e/r/e/ /a/n/y/t/h/i/n/g/ /t/o/ /c/o/v/e/r/ /m/e/?/,/(/Y/o/u/ /a/r/e/ /c/l/o/s/i/n/g/ /y/o/u/r/ /e/y/e/s/./ /I/ /w/o/n/d/e/r/ /w/h/a/t/ /d/o/ /y/o/u/ /t/h/i/n/k/i/n/g/./)/,/W/h/e/n/ /y/o/u/ /f/e/e/l/ /l/i/k/e/ /t/o/ /b/e/ /u/s/e/d/ /t/o/ /b/e/i/n/g/ /a/l/o/n/e/.///////.///////./////// /T/h/e/n/ /w/o/u/l/d/ /i/t/ /b/e/ /o/k/a/y/ /t/o/ /b/e/ /a/l/o/n/e/ /f/o/r/ /t/h/e/ /r/e/s/t/ /o/f/ /y/o/u/r/ /l/i/f/e/?/,/L/i/k/e/ /a/ /b/i/r/d/ /i/n/ /a/ /c/a/g/e/ /I/ /f/e/e/l/ /l/i/k/e/ /I/'/m/ /i/n/ /a/ /c/a/g/e/./,/I/ /r/e/m/e/m/b/e/r/ /I/ /h/u/d/d/l/e/d/ /t/o/g/e/t/h/e/r/ /t/o/ /s/l/e/e/p/ /i/n/ /a/ /s/m/a/l/l/ /r/o/o/m/ /w/h/e/n/ /I/ /w/a/s/ /a/ /k/i/d/./,/W/h/a/t/ /i/s/ /p/r/e/c/i/o/u/s/ /t/o/ /m/e/?/ /////H/m/m/////////.///////./,/I/ /c/a/n/n/o/t/ /g/e/t/ /r/i/d/ /o/f/ /a/l/l/ /t/h/a/t/ /b/o/t/h/e/r/s/ /m/e/ /b/u/t/ /I/ /t/h/i/n/k/ /i/t/ /i/s/ /g/o/i/n/g/ /t/o/ /d/i/s/a/p/p/e/a/r/ /a/ /l/o/t/ /o/n/e/ /d/a/y/./,/I/ /t/h/o/u/g/h/t/ /h/a/m/b/u/r/g/e/r/s/ /o/n/l/y/ /h/a/d/ /b/u/l/g/o/g/i/ /b/u/t/ /t/h/e/y/ /h/a/d/ /c/h/i/c/k/e/n/ /a/n/d/ /s/h/r/i/m/p/./,/L/a/s/t/ /t/i/m/e/ /I/ /c/h/o/k/e/d/ /w/h/i/l/e/ /d/r/i/n/k/i/n/g/ /w/a/t/e/r/ /i/n/ /a/ /h/u/r/r/y/./ /I/ /s/h/o/u/l/d/ /b/e/ /m/o/r/e/ /c/a/r/e/f/u/l/./
25,/T/h/e/ /f/l/o/o/r/ /f/e/e/l/s/ /d/a/m/p/./,/././M/y/ /s/o/r/e/ /t/h/r/o/a/t/ /a/ /l/i/t/t/l/e/ /b/i/t/./,/W/h/a/t/ /c/a/n/ /I/ /d/o/ /w/i/t/h/ /p/a/p/e/r/?/ /S/h/o/u/l/d/ /I/ /w/r/i/t/e/ /s/o/m/e/t/h/i/n/g/ /d/o/w/n/?/,/(/Y/o/u/ /a/r/e/ /l/o/o/k/i/n/g/ /a/t/ /y/o/u/r/ /w/r/i/g/g/l/i/n/g/ /f/i/n/g/e/r/s/./)/,/W/i/l/l/ /t/h/e/ /r/a/i/n/ /i/n/ /m/y/ /m/i/n/d/ /s/t/o/p/ ////////i/f/ /I/ /r/e/m/e/m/b/e/r/ /t/h/e/ /w/a/r/m/ /d/a/y/s////////.////////.////////?/,/I/f/ /I/'/m/ /f/o/c/u/s/i/n/g/ /o/n/ /t/h/e/ /s/o/u/n/d/ /o/f/ /r/a/i/n/ /m/y/ /a/n/x/i/e/t/y/ /i/s/ /g/o/n/e/ /i/n/ /s/p/i/t/e/ /o/f/ /m/y/s/e/l/f/.,/S/o/m/e/t/i/m/e/s/ /i/t/ /i/s/ /e/a/s/i/e/r/ /t/o/ /b/e/ /a/l/o/n/e/ /a/n/d/ /s/o/m/e/t/i/m/e/s/ /i/t/ /i/s/ /g/o/o/d/ /t/o/ /b/e/ /t/o/g/e/t/h/e/r/./,/I/ /h/a/v/e/ /r/e/a/d/ /a/b/o/u/t/ /b/u/t/t/e/r/f/l/i/e/s/ /i/n/ /t/h/e/ /d/i/c/t/i/o/n/a/r/y/ /b/e/f/o/r/e/ /a/n/d/ /t/h/e/y/ /a/r/e/ /s/o/ /d/i/v/e/r/s/e/./,/(/W/i/p/i/n/g/ /t/h/e/ /d/u/s/t/ /l/i/g/h/t/l/y/ /w/i/t/h/ /y/o/u/r/ /f/i/n/g/e/r/s/./)/,/E/a/t/i/n/g/ /c/h/o/c/o/l/a/t/e/ /m/a/k/e/s/ /m/e/ /f/e/e/l/ /g/o/o/d/./ /S/w/e/e/t/n/e/s/s/ /h/e/l/p/s/ /r/e/l/i/e/v/e/ /s/t/r/e/s/s/./
26,/T/h/e/ /f/l/o/o/r/ /i/s/ /n/o/t/ /c/l/e/a/n/./,/I/ /c/a/n/'/t/ /t/h/i/n/k/ /o/f/ /a/ /g/o/o/d/ /i/d/e/a/././,/P/a/p/e/r/ /f/o/l/d/i/n/g/ /i/s/ /f/u/n/ /b/u/t/ /s/o/m/e/h/o/w/ /h/a/r/d/./,/(/Y/o/u/ /a/r/e/ /s/t/r/o/k/i/n/g/ /y/o/u/r/ /s/t/o/m/a/c/h/ /t/o/ /s/e/e/ /i/f/ /Y/o/u/'/r/e/ /h/u/n/g/r/y/./)/,/T/h/e/s/e/ /d/a/y/s/ /I/ /h/a/v/e/ /a/ /b/e/l/i/e/f/ /t/h/a/t/ /r/a/i/n/ /w/i/l/l/ /s/t/o/p/ /s/o/m/e/d/a/y/./,/I/ /h/a/d/ /b/e/l/i/e/v/e/d/ /t/h/a/t/ /S/a/n/t/a/ /C/l/a/u/s/ /e/x/i/s/t/s/ /s/o/m/e/w/h/e/r/e/ /././w/h/e/n/ /I/ /w/a/s/ /a/ /k/i/d/./,/I/ /w/a/n/t/ /t/o/ /s/p/e/n/d/ /t/h/e/ /d/a/y/ /w/i/t/h/ /a/ /c/u/p/ /o/f/ /w/a/r/m/ /t/e/a/ /o/n/ /a/ /r/a/i/n/y/ /d/a/y/./,/I/t/ /i/s/ /f/u/n/ /t/o/ /f/i/n/d/ /i/n/f/o/r/m/a/t/i/o/n/ /t/h/a/t/ /I/ /d/o/ /n/o/t/ /k/n/o/w/ /b/e/f/o/r/e/./ /T/h/e/r/e/ /a/r/e/ /a/ /l/o/t/ /o/f/ /t/h/i/n/g/s/ /I/ /d/o/ /n/o/t/ /k/n/o/w/ /y/e/t/./,/I/ /w/a/n/t/ /t/o/ /g/o/ /h/i/k/i/n/g/ /b/u/t/ /I/ /t/h/i/n/k/ /i/t/ /w/i/l/l/ /b/e/ /h/a/r/d/ /b/e/c/a/u/s/e/ /I/ /d/o/ /n/o/t/ /h/a/v/e/ /e/n/o/u/g/h/ /s/t/a/m/i/n/a/./ ///////.///////.///////I/ /n/e/e/d/ /t/o/ /b/u/i/l/d/ /u/p/ /m/y/ /s/t/a/m/i/n/a/./,/W/e/l/l///////.///////.///////./////// /I/ /c/a/n/n/o/t/ /r/e/m/e/m/b/e/r/ /w/h/a/t/ /I/ /h/a/d/ /b/e/e/n/ /u/p/ /t/o/./ ///////W/h/a/t/ /d/i/d/ /I/ /d/o/?/
27,/(/I/ /h/e/a/r/d/ /s/o/m/e/t/h/i/n/g/ /b/u/t/ /c/o/u/l/d/'/t/ /u/n/d/e/r/s/t/a/n/d/./)/,/T/h/e/ /m/e/m/o/r/i/e/s/ /o/f/ /m/y/ /s/c/h/o/o/l/ /d/a/y/s/ /a/r/e/ /n/o/t/ /p/r/e/t/t/y/ /g/o/o/d/./,/I/ /d/o/n/'/t/ /k/n/o/w/ /h/o/w/ /l/o/n/g/ /I/ /a/m/ /g/o/i/n/g/ /t/o/ /b/e/ /h/e/r/e/./ /W/e/l/l///////.///////./,/I/ /w/a/n/t/ /t/h/e/ /w/a/l/l/p/a/p/e/r/ /t/o/ /b/e/ /g/o/r/g/e/o/u/s/ /i/n/ /a/ /b/r/i/g/h/t/ /t/o/n/e/./,/I/ /f/e/e/l/ /l/i/k/e/ /m/y/ /l/i/f/e/ /i/s/ /n/o/t/ /b/a/d/./,/I/ /a/t/e/ /t/h/e/ /f/o/o/d/ /t/h/a/t/ /w/h/a/t/ /I/ /w/a/n/t/ /a/f/t/e/r/ /a/ /l/o/n/g/ /t/i/m/e/ /b/u/t/ /w/h/e/n/ /I/ /c/a/m/e/ /t/o/ /m/y/ /s/e/n/s/e/s/ /i/t/ /w/a/s/ /a/ /d/r/e/a/m/./ /I/t/ /w/a/s/ /t/o/o/ /b/a/d/./,I/ /f/o/r/g/e/t/ /t/h/e/ /g/o/o/d/ /p/a/s/t/ /q/u/i/c/k/l/y/./ ///////T/h/a/t/ /i/s/ /w/h/y/ /w/e/ /c/a/l/l/ /p/e/o/p/l/e/ /o/b/l/i/v/i/o/u/s/ /c/r/e/a/t/u/r/e/s/./,/I/ /c/o/m/e/ /u/p/ /w/i/t/h/ /a/ /c/h/i/l/d/ /w/h/o/ /h/u/n/g/ /o/u/t/ /w/i/t/h/ /m/e/ /w/h/e/n/ /I/ /w/a/s/ /c/h/i/l/d/./ ///////W/h/a/t/ /i/s/ /h/e/ /d/o/i/n/g/ /n/o/w/?/,/I/ /c/a/n/n/o/t/ /r/e/m/e/m/b/e/r/ /s/e/e/i/n/g/ /a/ /r/a/i/n/b/o/w/ /a/f/t/e/r/ /t/h/e/ /r/a/i/n/./ ///////I/ /w/a/n/t/ /t/o/ /s/e/e/ /i/t/ /s/o/m/e/d/a/y/./,/I/f/ /I/ /f/o/r/c/e/ /m/y/s/e/l/f/ /t/o/ /d/o/ /s/o/m/e/t/h/i/n/g/ /I/ /d/o/ /n/o/t/ /w/a/n/t/ /t/o/ /d/o/ /o/n/e/ /d/a/y/ ///////I/ /w/i/l/l/ /f/e/e/l/ /a/ /r/u/s/h/ /o/f/ /r/e/a/l/l/y/ /h/a/r/d/ /f/e/e/l/i/n/g/s/././
28,/I/'/m/ /s/l/e/e/p/y/ /b/u/t/ /I/ /d/o/n/'/t/ /w/a/n/t/ /t/o/ /s/l/e/e/p/./,/P/e/o/p/l/e/ /c/a/n/n/o/t/ /a/l/w/a/y/s/ /b/e/ /p/o/s/i/t/i/v/e/./,/I/ /d/o/n/'/t/ /w/a/n/t/ /t/h/e/ /w/i/n/d/o/w/s/ /t/o/ /s/h/a/k/e/ /a/n/y/m/o/r/e/./,/I/f/ /I/ /s/t/i/c/k/ /s/o/m/e/t/h/i/n/g/ /o/n/ /t/h/e/ /w/a/l/l/./ /H/m/m/././,/(/Y/o/u/ /f/e/e/l/ /l/o/s/t/ /i/n/ /y/o/u/r/ /t/h/o/u/g/h/t/./)/,"/O/n/ /a/ /t/h/u/n/d/e/r/i/n/g/ /d/a/y/,/ /a/ /w/h/i/t/e/ /p/i/g/e/o/n/ /t/h/a/t/ /d/i/d/n/'/t/ /m/o/v/e/ /o/n/ /t/h/e/ /s/i/d/e/ /o/f/ /t/h/e/ /r/o/a/d/ /w/h/e/n/ /I/ /w/a/s/ /c/h/i/l/d/ /c/r/o/s/s/ /m/y/ /m/i/n/d/./",/T/h/e/ /b/a/d/ /p/a/s/t/ /c/l/i/n/g/s/ /t/o/ /m/e/ /l/i/k/e/ /a/ /s/h/a/d/o/w/./ ////////I/t/ /i/s/ /h/a/r/d/ /t/o/ /f/o/r/g/e/t/./,/S/o/m/e/t/i/m/e/s/ /f/r/i/e/n/d/s/ /I/ /h/a/v/e/ /n/o/t/ /s/e/e/n/ /f/o/r/ /a/ /l/o/n/g/ /t/i/m/e/ /c/r/o/s/s/ /m/y/ /m/i/n/d/./ /L/i/k/e/ /n/o/w/././,/I/f/ /y/o/u/ /w/a/n/t/ /t/o/ /g/o/ /o/u/t/ /o/n/ /a/ /f/i/n/e/ /d/u/s/t/y/ /d/a/y/ /y/o/u/ /h/a/v/e/ /t/o/ /w/e/a/r/ /a/ /m/a/s/k/./,/S/l/e/e/p/ /i/s/ /n/e/c/e/s/s/a/r/y/ /f/o/r/ /p/e/o/p/l/e/ /t/o/ /l/i/v/e/ /i/n/ /o/r/d/e/r/ /t/o/ /g/i/v/e/ /a/ /b/r/a/i/n/ /a/ /b/r/e/a/k/./
29,/W/h/a/t/ /s/h/o/u/l/d/ /I/ /d/o/ /w/h/e/n/ /I/ /f/e/e/l/ /t/i/r/e/d/././?/,/I/ /h/a/v/e/ /g/o/t/ /a/ /c/o/l/d/././,/S/o/m/e/t/i/m/e/s/ /t/h/e/ /w/i/n/d/o/w/s/ /s/h/o/o/k/ /v/i/o/l/e/n/t/l/y/ /a/t/ /n/i/g/h/t/./ /T/h/a/t/ /m/a/d/e/ /m/e/ /w/a/k/e/ /u/p/./,/(/Y/o/u/ /w/e/a/r/ /a/ /f/r/o/w/n/ /b/u/t/ /y/o/u/ /s/o/o/n/ /r/e/t/u/r/n/e/d/./)/,/S/o/m/e/d/a/y/ /I/ /w/i/l/l/ /d/e/c/o/r/a/t/e/ /t/h/e/ /w/a/l/l/p/a/p/e/r/ /w/i/t/h/ /t/h/e/ /b/r/i/g/h/t/ /c/o/l/o/r/s/./,/(/Y/o/u/ /a/r/e/ /w/i/p/i/n/g/ / /f/o/r/m/e/d/ /t/e/a/r/s/ /o/n/ /y/o/u/r/ /e/y/e/s/ /w/h/i/l/e/ /y/a/w/n/i/n/g/./),/D/a/r/k/ /c/l/o/u/d/s/ /a/r/e/ /n/o/t/ /t/o/o/ /b/a/d/ /b/u/t/ /I/ /a/m/ /a/ /l/i/t/t/l/e/ /s/c/a/r/e/d/ /i/f/ /i/t/ /i/s/ /w/i/t/h/ /t/h/u/n/d/e/r/././,/I/ /t/h/i/n/k/ /I/ /s/l/e/p/t/ /w/e/l/l/ /a/t/ /n/i/g/h/t/./ /H/e/a/d/a/c/h/e/s/ /a/n/d/ /d/i/z/z/i/n/e/s/s/ /a/r/e/ /d/i/s/a/p/p/e/a/r/e/d/ /a/ /l/o/t/./,/I/ /f/e/e/l/ /r/e/f/r/e/s/h/e/d/ /w/h/e/n/ /I/ /s/l/e/e/p/ /w/e/l/l/./ /I/ /l/i/k/e/ /i/t/ /b/e/t/t/e/r/ /b/e/c/a/u/s/e/ /t/h/e/r/e/ /a/r/e/ /m/o/r/e/ /d/a/y/s/ /l/i/k/e/ /t/h/a/t/ /t/h/e/s/e/ /d/a/y/s/./,/I/t/ /l/o/o/k/s/ /m/o/r/e/ /a/t/m/o/s/p/h/e/r/i/c/ /w/i/t/h/ /c/u/r/t/a/i/n/s/ /i/n/ /t/h/e/ /w/i/n/d/o/w/./ /I/t/ /w/o/u/l/d/ /b/e/ /a/l/s/o/ /g/o/o/d/ /t/o/ /d/e/c/o/r/a/t/e/ /i/t/ /i/n/ /a/ /v/a/r/i/e/t/y/ /o/f/ /w/a/y/s/./
30,/I/ /j/u/s/t/ /w/a/n/t/ /t/o/ /r/e/l/a/x/./,/H/o/w/ /l/o/n/g/ /h/a/s/ /i/t/ /b/e/e/n/ /s/i/n/c/e/ /m/y/ /a/t/e/ /n/u/t/r/i/t/i/o/u/s/ /f/o/o/d/?/,/W/h/a/t/ /s/h/o/u/l/d/ /I/ /p/u/t/ /o/n/ /m/y/ /d/e/s/k/?/,/I/ /f/e/e/l/ /l/i/k/e/ /i/t/ /i/s/ /r/a/i/n/i/n/g/ /i/n/ /m/y/ /m/i/n/d/./,/I/ /t/h/i/n/k/ /i/t/ /i/s/ /b/e/t/t/e/r/ /t/o/ /h/a/v/e/ /a/ /n/e/a/t/ /w/a/l/l/./ ////////M/a/y/b/e/././,/(/Y/o/u/ /a/r/e/ /c/o/m/p/a/r/i/n/g/ /t/h/e/ /s/o/l/e/s/ /o/f/ /y/o/u/r/ /h/a/n/d/s/ /a/n/d/ /f/e/e/t/./ /I/t/ /l/o/o/k/s/ /s/m/a/l/l/e/r/ /t/h/a/n/ /I/ /t/h/o/u/g/h/t/./)/,/(/L/o/o/k/i/n/g/ /a/t/ /t/h/e/ /r/o/o/m/ /f/o/r/ /a/ /l/o/n/g/ /t/i/m/e/ /t/h/e/n/ /l/o/o/k/i/n/g/ /a/t/ /t/h/e/ /w/i/n/d/o/w/./)/,/I/f/ /s/o/m/e/t/h/i/n/g/ /f/l/a/s/h/e/s/ /b/e/f/o/r/e/ /t/h/u/n/d/e/r/ /s/t/r/i/k/e/s/ /I/ /g/e/t/ /n/e/r/v/o/u/s/ /w/i/t/h/o/u/t/ /r/e/a/l/i/z/i/n/g/ /i/t/ /b/e/c/a/u/s/e/ /I/ /d/o/ /n/o/t/ /k/n/o/w/ /w/h/e/n/ /t/o/ /h/i/t/./,/I/t/ /i/s/ /g/o/o/d/ /t/o/ /s/e/e/ /c/h/e/r/r/y/ /b/l/o/s/s/o/m/s/ /i/n/ /s/p/r/i/n/g/./ /I/t/ /i/s/ /a/ /o/n/c/e/-/a/-/y/e/a/r/ /m/o/m/e/n/t/ /s/o/ /i/t/ /i/s/ /a/ /p/r/e/c/i/o/u/s/ /f/e/e/l/i/n/g/./,/T/h/e/r/e/ /w/a/s/ /s/o/m/e/t/h/i/n/g/ /o/n/ /t/h/e/ /d/e/s/k/ /s/o/ /I/ /l/o/o/k/e/d/ /a/n/d/ /t/h/e/r/e/ /w/a/s/ /t/h/e/ /p/a/p/e/r/ /I/ /t/h/r/e/w/ /a/w/a/y/ /l/a/s/t/ /t/i/m/e/./ ///////I/ /c/l/e/a/n/e/d/ /i/t/ /u/p/ /r/i/g/h/t/ /a/w/a/y/./
31,////.///////.///////H/i/,/I/f/ /y/o/u/ /s/t/a/y/ /l/i/k/e/ /t/h/i/s/./././,/W/i/l/l/ /g/o/o/d/ /t/h/i/n/g/s/ /h/a/p/p/e/n/ /w/h/e/n/ /r/a/i/n/ /i/s/ /g/a/t/h/e/r/e/d/ /a/ /l/o/t/?/,/.////////.////////W/i/l/l/ /s/o/m/e/t/h/i/n/g/ /b/e/ /d/i/f/f/e/r/e/n/t/ /i/f/ /I/ /e/x/p/r/e/s/s/ /m/y/ /c/o/m/p/l/a/i/n/t/s/?/,/(/Y/o/u/'/r/e/ /l/o/o/k/i/n/g/ /t/o/ /t/h/e/ /l/e/f/t/ /a/n/d/ /t/h/e/n/ /t/o/ /t/h/e/ /r/i/g/h/t/./)/,/I/ /f/o/u/n/d/ /a/ /d/o/l/l/ /w/h/i/l/e/ /s/e/a/r/c/h/i/n/g/ /t/h/r/o/u/g/h/ /t/h/e/ /b/o/x/ /b/u/t/ /i/t/ /w/a/s/ /m/o/l/d/y/ /s/o/ ////////I/ /t/h/r/e/w/ /i/t/ /a/w/a/y/./,I/ /d/o/ /n/o/t/ /h/a/v/e/ /t/o/ /a/v/o/i/d/ /m/y/ /r/e/f/l/e/c/t/i/o/n/ /i/n/ /t/h/e/ /m/i/r/r/o/r/./ /I/ /n/e/e/d/ /t/o/ /p/r/a/c/t/i/c/e/ /l/o/o/k/i/n/g/ /s/t/r/a/i/g/h/t/./,/(/Y/o/u/ /a/r/e/ /m/o/v/i/n/g/ /y/o/u/r/ /h/e/a/d/ /l/i/g/h/t/l/y/./ /I/ /t/h/i/n/k/ /y/o/u/ /a/r/e/ /o/r/g/a/n/i/z/i/n/g/./)/,/I/f/ /t/h/e/ /l/e/a/v/e/s/ /f/a/l/l/ /a/n/d/ /t/h/e/ /c/o/l/o/r/ /t/u/r/n/s/ /r/e/d/ /t/h/e/n/ /a/u/t/u/m/n/ /w/i/l/l/ /c/o/m/e/./,I/ /h/e/a/r/ /t/h/e/ /r/a/i/n/ /k/n/o/c/k/i/n/g/ /o/n/ /t/h/e/ /w/i/n/d/o/w/s/./ /I/t/ /f/e/e/l/s/ /l/i/k/e/ /I/ /a/m/ /b/e/i/n/g/ /c/a/l/l/e/d/./
32,/././D/o/ /y/o/u/ /h/a/v/e/ /a/n/y/t/h/i/n/g/ /t/o/ /s/a/y/ /t/o/ /m/e/?/,/I/ /w/a/n/t/ /t/o/ /e/a/t/ /s/w/e/e/t/ /a/n/d/ /s/o/u/r/ /f/r/u/i/t/./,/I/ /t/h/i/n/k/ /I/ /f/e/e/l/ /b/e/t/t/e/r/ /w/h/e/n/ /I/ /a/m/ /a/l/o/n/e/ /q/u/i/e/t/l/y/./,/I/t/ /i/s/ /h/a/r/d/ /b/u/t/ /I/ /h/a/v/e/ /t/o/ /g/e/t/ /t/h/r/o/u/g/h/ /i/t/./ /B/e/c/a/u/s/e/ /I/ /m/u/s/t/ /d/o/ /i/t/.//,/(/I/ /t/h/i/n/k/ /y/o/u/r/ /f/a/c/i/a/l/ /e/x/p/r/e/s/s/i/o/n/ /l/o/o/k/s/ /a/ /l/i/t/t/l/e/ /r/e/l/i/e/v/e/d/./)/,/I/t/'/s/ /b/e/e/n/ /a/ /l/o/n/g/ /t/i/m/e/ /s/i/n/c/e/ /I/ /s/a/w/ /s/t/a/r/s/ /i/n/ /t/h/e/ /n/i/g/h/t/ /s/k/y/./ /S/o/ /I/ /c/a/n/'/t/ /r/e/m/e/m/b/e/r/ /i/t/./,/I/f/ /I/ /a/m/ /h/u/n/g/r/y/ /I/ /s/h/o/u/l/d/ /e/a/t/ /s/o/m/e/t/h/i/n/g/ /l/i/k/e/ /d/r/i/n/k/i/n/g/ /w/a/t/e/r/ /w/h/e/n/ /I/ /a/m/ /t/h/i/r/s/t/y/./,/S/o/m/e/t/i/m/e/s/ /I/ /h/e/a/r/ /t/h/e/ /s/o/u/n/d/s/ /o/f/ /c/a/t/s/ /o/u/t/s/i/d/e/ /t/h/e/ /w/i/n/d/o/w/./ ///////I/ /w/o/n/d/e/r/ /i/f/ /i/t/ /i/s/ /p/a/s/s/i/n/g/ /b/y/?/,/O/n/ /a/ /s/n/o/w/y/ /w/i/n/t/e/r/ /d/a/y/ /I/ /w/a/n/t/ /t/o/ /s/i/t/ /i/n/ /f/r/o/n/t/ /o/f/ /t/h/e/ /s/t/o/v/e/ /e/a/t/i/n/g/ /h/o/t/ /h/o/b/b/a/n/g/./,/I/ /h/a/v/e/ /t/o/ /b/e/ /c/a/r/e/f/u/l/ /b/e/c/a/u/s/e/ /i/f/ /I/ /v/e/n/t/i/l/a/t/e/ /t/h/e/ /h/o/u/s/e/ /i/n/ /t/h/e/ /w/r/o/n/g/ /w/a/y/ /o/n/ /a/ /c/l/e/a/r/ /d/a/y/ /a/i/r/ /p/o/l/l/u/t/i/o/n/ /w/i/l/l/ /c/o/m/e/ /i/n/t/o/ /t/h/e/ /h/o/u/s/e/./
